Gage_ID	Category	LON_NHD	LAT_NHD	HUC8	WsAreaSqKm	CatAreaSqKm	CaOCat	HydrlCondCat	MgOCat	SCat	CompStrgthCat	WetIndexCat	BFICat	ElevCat	PctWaterCat	PctCoastCrsCat	PctAlluvCoastCat	PctHydricCat	PctGlacLakeFineCat	PctGlacLakeCrsCat	PctGlacTilClayCat	PctColluvSedCat	PctSalLakeCat	PctExtruVolCat	PctSilicicCat	PctNonCarbResidCat	PctCarbResidCat	PctEolCrsCat	PctEolFineCat	RunoffCat	CLAYAVE	SILTAVE	SANDAVE	AWCAVE	PERMAVE	BDAVE	OMAVE	HGA	HGB	HGC	HGD	ROCKDEPAVE	NO4AVE	NO10AVE	NO200AVE	WTDEPAVE	SLOPEAVE	Horton	Dunne	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	ECOREG
4212100	Altered	-81.22774506	41.71879959	4110004	1783.2699	8.37	5.254336834	7.50E-05	1.073742032	1.961276054	30.5301609	529.8788172	26	199.5393602	0	0	0	0	99.70967742	0	0.290322581	0	0	0	0	0	0	0	0	509	13.58	44.75	41.67	0.08	8.92	1.46	0.28	15.75	49.3	34.81	0.08	59.98	75.85	68.21	39.88	3.89	4.12	0	3	10.31187439	9.262083054	27.53980255	918.3496094	27.22000122	-6.409999847	33.63000107	16.48666763	-0.409999996	21.34749985	-1.242499948	1053.25	104.0599976	56.53499985	16.53081894	296.9400024	196.4199982	290.5100098	212.5249939	ECO04
4086000	Altered	-87.76004028	43.74028015	4030101	1118.7405	20.1591	30.22999954	0.086984999	20.34000015	0.032000002	138.1999969	553.4202866	48.56100719	204.0188066	0	0	0	0	1.138443681	0	98.86155632	0	0	0	0	0	0	0	0	224	41.92	41.62	16.45	0.16	0.85	1.53	4.77	0	6	79	8	59.69	94.13	91.86	76.74	4.34	3.26	7	1.149999976	7.934999943	9.043333054	24.64123535	998.4729614	26.78000069	-9.920000076	36.70000076	20.09666634	-4.61833334	20.09666634	-4.61833334	819.0300293	90.88999939	35.52999878	29.41274452	259.2799988	121.0399933	259.2799988	121.0399933	ECO04
4071000	Altered	-88.30013275	44.86464691	4030104	1811.5758	5.9031	1.866755469	6.647586998	1.568174852	0.072466171	3.652659252	493.7403568	64.24881842	247.8604238	0	0	0	0	0	2.79005946	0	0	0	0	0	0	0	0	0	280	14.96	43.07	41.96	0.15	1.93	1.47	4.6	4	47	29	0	60	89.26	82.98	48.16	3.5	3.17	6	1	6.58166647	11.67500019	28.34425735	1085.885498	27.05999947	-14.13000011	41.18999863	19.49333382	-7.41166687	19.49333382	-7.41166687	790.2199707	97.12999725	25.64999962	39.26761627	283.1199951	94.69999695	283.1199951	94.69999695	ECO04
4069500	Altered	-87.74520488	45.04697701	4030105	2882.7828	2.7846	31.73379326	0.057551	13.10447025	0.163090006	117.0273895	729.4133807	55	184.1904913	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	299.2954105	5.19	20.12	74.67	0.08	12.26	1.44	4.09	55	21	0	0	60	97.63	93.77	23.74	3.36	3.46	0	2	6.532500267	10.96333313	27.71317863	1044.13269	26.47999954	-13.07999992	39.55999756	16.65999985	-6.763333321	19.06333351	-6.763333321	808.5700073	91.58999634	27.73999977	34.22451401	265.0100098	104.6299973	264.1799927	104.6299973	ECO04
4060993	Altered	-88.31604004	45.96068192	4030106	974.1375	3.8502	2.845201939	0.147140825	3.054670772	0.106109548	136.6766367	530.7597008	70.44974287	397.5116176	0	0	0	0	0	10.77606358	0	0	0	0	0	0	0	0	0	229	3.59	13.37	83.03	0.12	9.76	1.32	12.83	74.39	4.72	0.5	0	59.97	87.14	79.87	13.53	4.74	10.75	0.75	1.25	4.706666946	12.41666698	29.63405037	1083.888306	25.68000031	-16.21999931	41.90000153	17.65333366	-9.138333321	17.65333366	-9.138333321	742.9500122	93.63999939	22.54000092	41.93218231	263.269989	84.97000122	263.269989	84.97000122	ECO04
4062000	Altered	-88.25771332	46.01068878	4030106	1652.2497	4.4235	2.473709106	0.030688001	2.103154898	0.030877	93.7284317	614.876704	67.04923703	403.8259369	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	243.7167854	3.13	12.15	84.71	0.12	10.31	1.31	13.22	77	2	0	0	60	87.18	79.97	12.22	4.73	10.94	0.200000003	1.600000024	4.595416546	12.54583359	29.86392212	1082.863403	25.69000053	-16.31999969	42.01000214	17.54000092	-9.216667175	17.54000092	-9.216667175	746.4899902	93.69000244	23.39999962	40.87123108	263.2600098	88.04000092	263.2600098	88.04000092	ECO04
4062500	Altered	-88.21608734	46.11389923	4030107	1710.4428	23.904	8.624802421	0.354207682	5.689227317	0.028665835	99.20662451	490.144616	65.790625	421.1206563	0	0	0	0	0	23.90813253	0	0	0	0	0	0	0	0	0	370	7.06	30.21	62.71	0.14	5.38	1.4	8.15	30.71	32.33	22.99	0	53.12	88.03	79.56	29.64	4.01	7.36	1.600000024	2.160000086	4.501666546	12.66499996	30.07599258	1081.778809	25.64999962	-16.45999908	42.11000061	17.43666649	-9.28666687	17.43666649	-9.28666687	742.789978	92.65000153	24.03000069	39.88759995	260.1099854	90.08999634	260.1099854	90.08999634	ECO04
4066003	Altered	-87.78712463	45.57940674	4030108	8196.9093	9.0531	4.39586862	0.728852954	2.555960469	0.018687285	71.07236177	477.304404	59.61636346	249.60847	0	0	0	0	0	28.42230838	0	0	0	0	0	0	0	0	0	282	7.67	21.98	70.34	0.11	8.59	1.39	6.59	48.91	32.4	4.34	0	56.8	91.39	83.02	24.63	4.97	6.71	0	1	5.703333378	12.79833317	30.54494858	1057.878784	26.79999924	-15.10000038	41.90000153	17.41166687	-7.748333454	18.37833405	-7.748333454	763.3400269	89.36000061	23.98999977	36.72711945	258.9200134	93.01999664	255.6100159	93.01999664	ECO04
4063000	Altered	-88.1884362	45.9514955	4030108	4601.2482	0.9783	2.352473801	0.026650321	1.95467203	0.024225918	98.8959112	463.4084637	65.75528979	370.3687397	0	0	0	0	0	98.06807728	0	0	0	0	0	0	0	0	0	292.8482061	6.15	20.27	73.56	0.13	6.65	1.37	10.61	59.64	20.02	3.34	0	59.795	86.93	79.32	20.93	4.8	9.71	0.888888896	1.444444418	4.784583569	12.45416641	29.68104553	1084.724243	25.81999969	-16.13999939	41.95999908	17.75499916	-9.061666489	17.75499916	-9.061666489	742.7700195	93.38999939	22.56999969	41.7390213	262.5400085	85.27000427	262.5400085	85.27000427	ECO04
4073500	Altered	-88.95224762	43.95381546	4030201	3461.2155	9.5283	8.4388263	0.168591346	3.977597812	0.410166112	43.82453955	747.2065741	56.7172948	244.7364541	0	0	0	0	68.13072636	0	0	0	0	0	0	0	0	0	0	334	26.85	40.37	32.77	0.17	3.8	1.35	11.57	1.35	36.23	22.77	16.41	60	92.65	90.62	60.89	2.69	2.99	3.333333254	2	7.596250057	11.08083344	27.63300133	1085.142456	27.71999931	-12.38000011	40.09999847	20.55666733	-6.335000038	20.55666733	-6.335000038	809.3800049	109.1299973	26.20999908	43.97262573	308.5700073	87.48999786	308.5700073	87.48999786	ECO04
4079000	Altered	-88.74040222	44.39193726	4030202	6047.7768	3.3228	9.471982956	0.062399	3.115672112	0.629800975	0.438160002	723.5230228	70	231.5334534	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	293	14	34.35	51.64	0.3	4.05	0.7	41.09	0	3	0	5	60	94.57	83.96	40.6	0.12	1.05	0.200000003	1.450000048	7.304999828	11.00166702	27.29264832	1084.856323	27.39999962	-12.90999985	40.30999756	20.21999931	-6.638333321	20.21999931	-6.638333321	805.4299927	103.8700027	26.17000008	42.4621315	306.9100037	93.44000244	306.9100037	93.44000244	ECO04
4084445	Altered	-88.42248535	44.24778366	4030204	15639.0507	5.5701	31.71221398	0.057836196	13.09082634	0.162984676	116.9978752	641.9334303	51.24026499	239.2425271	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	298.9806108	41.92	41.62	16.45	0.16	0.85	1.53	4.77	0	6	79	8	59.69	94.13	91.86	76.74	4.34	3.26	10	1	7.477916718	10.25249958	25.93599701	1085.287598	27.29000092	-12.23999977	39.52999878	20.41833305	-6.441666603	20.41833305	-6.441666603	781.2299805	100.7799988	26.43000031	39.80475235	288.8699951	93.84999847	288.8699951	93.84999847	ECO04
4093000	Altered	-87.25636291	41.53560638	4040001	321.5673	0.1512	9.471982956	0.062399	3.115672112	0.629800975	0.438160002	487.9404762	39	185.6979762	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	415	20.6	45.46	33.93	0.16	2.01	1.5	1.52	0	22	18	2	60	98.21	95.72	63.23	0.91	1	0	3	10.34097195	10.44861126	28.22820091	998.0165405	28.87333298	-8.140000343	37.01333237	22.24777794	-1.353333235	22.24777794	-2.495555401	987.2399902	108.1766663	45.5	25.72165489	311.769989	159.7566681	311.769989	159.7866669	ECO04
4094000	Altered	-87.08685303	41.62181091	4040001	171.7452	5.7096	5.506502432	2.751545819	2.350541684	0.364023045	0.531299715	553.6869483	52.8377995	196.0779256	0	0	0	0	64.24968474	3.278688525	32.47162673	0	0	0	0	0	0	0	0	415	24.57	46.99	28.43	0.15	1.73	1.52	1.78	1.47	16.66	34.6	1.35	60	97.67	94.56	67.59	1.53	2.21	10	2	10.3479166	9.582500458	26.75928497	983.4007568	28.14999962	-7.659999847	35.80999756	22.0933342	-0.659999967	22.0933342	-2.271666765	995.4000244	107.5500031	45.18000031	26.34103584	315.980011	155.5299988	315.980011	160.2900085	ECO04
4087240	Altered	-87.8242569	42.75165176	4040002	498.087	9.9144	0.649085386	0.027226829	1.432510823	0.038929455	0.625042641	517.5616376	35.39179375	204.953829	0	0	0	0	0.009077705	0	99.99092229	0	0	0	0	0	0	0	0	306	34.69	53.79	11.51	0.16	0.69	1.5	4.83	0	3.96	75.74	2.52	60	97.08	95.02	84.08	3.13	4.75	5.333333492	2	8.602292061	9.087083817	25.16658783	999.8215942	26.61999893	-9.479999542	36.09999847	16.83666611	-4.064167023	20.69750023	-4.064167023	888.8800049	100.5849991	38.14499664	30.84579849	287.0050049	129.7299957	286.0700073	129.7299957	ECO04
